file_name,year,char_id,char_name,mention_count,is_detective,is_main_character,is_main_detective,degree,pagerank,betweenness,closeness
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-IV,1827,0,adèle,1539.0,False,True,False,46,0.11457700131975716,0.2222222222222222,0.5714285714285714
1827_Vigny-Alfred-de_Cinq-Mars,1827,0,cinq - mars,2127.0,False,True,False,421,0.21796340329008212,0.0,1.0
1828_Kock-Paul-de_Jean,1828,0,jean,5575.0,False,True,False,1415,0.23203280807150273,0.0,1.0
1829_Custine-Astolphe-de_Aloys-ou-le-Religieux-du-mont-Saint-Bernard,1829,0,du mont saint-bernard,1691.0,False,True,False,187,0.39019841392311533,0.3333333333333333,1.0
1829_Giberton-Theodore_La-fille-du-vieux-chanteur,1829,0,charles,923.0,False,True,False,336,0.27580373881302545,0.0,1.0
1829_Hugo-Victor_Le-dernier-jour-d-un-condamne,1829,0,marie,1706.0,False,True,False,112,0.19741008306820604,0.1111111111111111,0.39682539682539686
1829_Merimee-Prosper_Mateo-Falcone,1829,0,fortunato,459.0,False,True,False,91,0.253358542113388,0.037037037037037035,0.8181818181818182
1829_Merimee-Prosper_Tamango,1829,0,tamango,403.0,False,True,False,108,0.28158147777107506,0.41666666666666663,1.0
1830_Merimee-Prosper_La-Partie-de-Trictrac,1830,0,roger,573.0,False,True,False,116,0.3666475422297087,0.75,1.0
1830_Stendhal_Le-Rouge-et-le-noir,1830,0,julien,13674.0,False,True,False,2564,0.3804648978040843,0.0,1.0
1830_Sue-Eugene_Kernok-le-Pirate,1830,0,kernok,1006.0,False,True,False,180,0.2890397509623028,0.0,1.0
1831_Balzac-Honore-de_La-Peau-de-chagrin-ed-Gosselin,1831,0,raphaël,5462.0,False,True,False,368,0.2027223346907727,0.21759259259259256,1.0
1831_Barbey-d-Aurevilly-Jules_Le-cachet-d-onyx,1831,0,réginald,367.0,False,True,False,117,0.1398851723260826,0.0,0.6428571428571429
1831_Hugo-Victor_Notre-Dame-de-Paris_(Tome-1),1831,0,gringoire,1568.0,False,True,False,289,0.25275648368625986,0.0,0.9
1831_Hugo-Victor_Notre-Dame-de-Paris_(Tome-2),1831,0,l' égyptienne,3630.0,False,True,False,939,0.27366186087141997,0.0,1.0
1831_Montovar-Mme-Ha-Dges_Aslega,1831,0,asléga,3006.0,False,True,False,396,0.3965324686405266,0.0,1.0
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-1,1831,0,zacharie,1326.0,False,True,False,83,0.3091589178771959,0.611111111111111,0.9
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-2,1831,0,zacharie,698.0,False,True,False,126,0.24470658718308713,0.0,0.9
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-3,1831,0,rose,692.0,False,True,False,176,0.1875626207068122,0.0,0.9
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-4,1831,0,zacharie,693.0,False,True,False,90,0.15273032559156333,0.0,0.7111111111111111
1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-5,1831,0,zacharie,656.0,False,True,False,108,0.1724313191513461,0.0,1.0
1831_Sue-Eugene_Atar-Gull,1831,0,benoît,1140.0,False,True,False,205,0.20791244634101935,0.027777777777777776,1.0
1832_Corbiere-Edouard_Les-pilotes-de-l-Iroise,1832,0,cavet,877.0,False,True,False,100,0.11893679627636816,0.2222222222222222,0.6428571428571429
1832_Desprez-Ernest_Un-enfant_tome-1,1832,0,louise,1675.0,False,True,False,527,0.3260857649920481,0.2407407407407407,1.0
