file_name,year,char_id,char_name,mention_count,is_detective,is_main_character,is_main_detective,degree,pagerank,betweenness,closeness
1981_Robbe-Grillet-Alain_Djinn,1981,0,simon,941.0,True,True,True,318,0.293139414900339,0.027777777777777776,0.8181818181818182
1982_Barjavel-Rene_La-Tempete,1982,1,olof,1387.0,True,False,True,271,0.21481361788258868,0.4305555555555555,0.75
1982_Daeninckx-Didier_Mort-Au-Premier-Tour,1982,0,cadin,2159.0,True,True,True,229,0.2548526669162978,0.0,1.0
1983_Echenoz-Jean_Cherokee,1983,0,georges,1461.0,True,True,True,278,0.26731593405234233,0.0,1.0
1984_Daeninckx-Didier_Le-Geant-Inacheve,1984,0,cadin,2063.0,True,True,True,339,0.30757461414069937,0.0,1.0
1984_Daeninckx-Didier_Meurtres-pour-memoire,1984,1,pierre cazes,571.0,True,False,True,96,0.12633296722075651,0.0,0.8181818181818182
1984_Des-Forets-Rene-Louis_Un-malade-en-foret,1984,1,max,684.0,True,False,True,211,0.2646726109881336,0.0,0.9
1984_Jonquet-Thierry_Mygale,1984,0,alex,1422.0,True,True,True,282,0.15963385046733003,0.0,0.9
1985_Carrere-Emmanuel_La-Moustache,1985,1,jérôme,1471.0,True,False,True,471,0.28637736695405475,0.2222222222222222,1.0
1985_Daeninckx-Didier_Metropolice,1985,0,jacques,1592.0,True,True,True,62,0.13167073034465462,0.18055555555555555,0.9
1985_Villard-Marc_Le-sentier-de-la-guerre,1985,0,dan,1114.0,True,True,True,150,0.18013506040408456,0.041666666666666664,1.0
1986_Daeninckx-Didier_Le-bourreau-et-son-double,1986,0,cadin,1754.0,True,True,True,256,0.27700725974605717,0.0,1.0
1986_Jonquet-Thierry_Le-Manoir-Des-Immortelles,1986,0,salarnier,1132.0,True,True,True,363,0.30007407667773106,0.0,0.9
1987_Daeninckx-Didier_Lumiere-noire,1987,0,yves guyot,797.0,True,True,True,208,0.23485275179365256,0.0,1.0
1987_Echenoz-Jean_Equipee-malaise,1987,1,paul,870.0,True,False,True,263,0.1934495610696503,0.0,1.0
1987_Villard-Marc_Rebelles-de-la-nuit,1987,0,tramson,1188.0,True,True,True,206,0.3394995510733554,0.0,1.0
1989_Daeninckx-Didier_La-mort-n-oublie-personne,1989,7,camblain,250.0,True,False,True,36,0.043609455394537686,0.0,0.6923076923076923
1989_Echenoz-Jean_Lac,1989,0,chopin,1168.0,True,True,True,269,0.2834455245083389,0.2222222222222222,1.0
1989_Villard-Marc_La-dame-est-une-trainee,1989,0,pradal,1429.0,True,True,True,168,0.33108750932972253,0.0,1.0
1990_Daeninckx-Didier_Le-facteur-fatal,1990,0,cadin,2245.0,True,True,True,260,0.31999334997969797,0.7777777777777777,0.9
1990_Laurent-Jacques_Le-miroir-aux-tiroirs,1990,0,jean,4549.0,True,True,True,1096,0.36537970733900565,0.2222222222222222,1.0
1991_Boileau-Narcejac_La-main-passe,1991,0,marescot,2795.0,True,True,True,357,0.3659534053989576,0.15277777777777776,1.0
1991_Sagan-Françoise_Les-Faux-fuyants,1991,1,loïc,1468.0,True,False,True,659,0.18776038351129248,0.0,1.0
1991_Vargas-Fred_L-homme-aux-cercles-bleus,1991,0,adamsberg,2289.0,True,True,True,604,0.24449551960826862,0.0,1.0
1994_Grange-Jean-Christophe_Le-vol-des-cigognes,1994,6,dumaz,454.0,True,False,True,55,0.05692310277427526,0.0,0.6
1994_Laurent-Jacques_Croire-a-Noel,1994,3,le juge balducio,240.0,True,False,True,30,0.09833018938830144,0.08333333333333333,0.2962962962962963
1995_Barjavel-Rene_Ravage,1995,2,seita,712.0,True,False,True,89,0.09232578055813659,0.0,0.6428571428571429
1995_Echenoz-Jean_Les-Grandes-Blondes,1995,2,personnettaz,624.0,True,False,True,173,0.11288633085950717,0.0,0.75
1996_Daeninckx-Didier_Nazis-dans-le-metro,1996,0,gabriel,1287.0,True,True,True,232,0.3926105970873811,0.0,1.0
1996_Vargas-Fred_Un-peu-plus-loin-sur-la-droite,1996,0,louis,1919.0,True,True,True,484,0.2042707783982045,0.0,1.0
1997_Grange-Jean-Christophe_Les-rivieres-pourpres,1997,0,niémans,4150.0,True,True,True,390,0.21766191127767748,0.0,1.0
1997_Vargas-Fred_Sans-feu-ni-lieu,1997,1,louis,2581.0,True,False,True,646,0.19086736314846622,0.0,1.0
1998_Houellebecq-Michel_Les-particules-elementaires,1998,0,bruno,1989.0,True,True,True,472,0.25022903174701155,0.1388888888888889,1.0
1998_Jonquet-Thierry_Moloch,1998,0,charlie,1712.0,True,True,True,295,0.17410034183742915,0.0,0.8181818181818182
1999_Echenoz-Jean_Je-m-en-vais,1999,0,ferrer,1676.0,True,True,True,276,0.3419897124258259,0.16666666666666666,1.0
1999_Vargas-Fred_L-homme-a-l-envers,1999,1,adamsberg,1644.0,True,False,True,462,0.12126627770911971,0.0,1.0
